,feats_hillshade_Cp1,feats_hillshade_Cp2,feats_hillshade_Cp3,class,clusters,Cp_Product,reordered_cluster,geometry,x,y
101,2.9234638,-5.491804,-4.960146,0,2,3202845700.0,8,POINT (15892541 -4740842),15892541.0,-4740842.0
102,1.6150455,-6.663625,-3.4554005,0,5,71116184.0,2,POINT (15892541 -4740242),15892541.0,-4740242.0
103,1.9381151,-4.6721168,-2.1405478,0,0,2735842.0,0,POINT (15892541 -4739642),15892541.0,-4739642.0
104,3.6547966,-7.121402,-4.4347963,0,1,20488585000.0,9,POINT (15893141 -4760642),15893141.0,-4760642.0
105,2.1567059,-5.70885,-2.515666,0,3,28507726.0,4,POINT (15893141 -4760042),15893141.0,-4760042.0
106,2.2050114,-5.9366493,-5.08844,0,2,1311247000.0,8,POINT (15893141 -4759442),15893141.0,-4759442.0
107,2.9700642,-5.404832,-2.4447327,0,3,93088740.0,4,POINT (15893141 -4758842),15893141.0,-4758842.0
108,3.2832603,-6.099223,-4.383261,0,1,5210578400.0,9,POINT (15893141 -4758242),15893141.0,-4758242.0
109,3.4745317,-5.9888988,-3.1396542,0,3,1190214400.0,4,POINT (15893141 -4757642),15893141.0,-4757642.0
110,2.7958822,-7.2784243,-4.4338636,0,1,5979885000.0,9,POINT (15893141 -4757042),15893141.0,-4757042.0
111,2.437416,-6.6396065,-4.5820274,0,1,2242065700.0,9,POINT (15893141 -4756442),15893141.0,-4756442.0
112,3.9454317,-6.346998,-3.7925553,0,1,7726348300.0,9,POINT (15893141 -4755842),15893141.0,-4755842.0
113,2.815198,-7.297943,-4.5120044,0,1,6845335000.0,9,POINT (15893141 -4755242),15893141.0,-4755242.0
114,2.5744872,-6.7352037,-4.2985287,0,1,2300416800.0,9,POINT (15893141 -4754642),15893141.0,-4754642.0
115,2.9989405,-7.4078884,-4.5944185,1,1,11078071000.0,9,POINT (15893141 -4754042),15893141.0,-4754042.0
116,2.3566594,-6.423957,-4.746512,1,1,1915888100.0,9,POINT (15893141 -4753442),15893141.0,-4753442.0
117,2.1937828,-7.2551327,-4.5459485,0,1,1982975700.0,9,POINT (15893141 -4752842),15893141.0,-4752842.0
118,2.4676008,-4.5057654,-3.9851236,0,2,170775820.0,8,POINT (15893141 -4752242),15893141.0,-4752242.0
119,2.9589825,-7.1550245,-4.823167,0,1,11102712000.0,9,POINT (15893141 -4751642),15893141.0,-4751642.0
